Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
Language Name En	English	German	Japanese	Polish	Spanish	French	ChineseSimplified	Italian	Korean	Portuguese	Russian	Ukrainian	Catalan	ChineseTraditional	Czech	Danish	Dutch	Estonian	Finnish	Greek	Hungarian	Norwegian	PortugueseBrazilian	Romanian	Slovak	SpanishLatin	Swedish	Turkish
BodyPartDef&KokuSkullSlot.label	skull implant	Schädelimplantat	頭蓋骨インプラント	implant czaszki	implante de cráneo	implant crânien	颅骨植入物	impianto del cranio	두개골 임플란트	implante de crânio	имплантат черепа	імплантат черепа	implant de crani	颅骨植入物	implantát lebky	kranieimplantat	schedel implantaat	kolju implantaat	kallon implantti	εμφύτευμα κρανίου	koponya implantátum	hodeskalleimplantat	implante de crânio	implant de craniu	implantát lebky	implante de cráneo	skallimplantat	kafatası implantı
HediffDef&KokuV1SleepLessSkullImplant.label	V1 sleepless skull implant	V1 schlafloses Schädelimplantat	V1 スリープレス頭蓋骨インプラント	Implant czaszki bezsennej V1	Implante de cráneo sin dormir V1	Implant crânien sans sommeil V1	V1不眠颅骨植入物	Impianto di cranio insonne V1	V1 잠 못 이루는 두개골 임플란트	Implante de crânio sem dormir V1	Имплантат бессонного черепа V1	Імплантат безсонного черепа V1	Implant de crani sense dormir V1	V1不眠颅骨植入物	Implantát lebky bez spánku V1	V1 søvnløst kranieimplantat	V1 slapeloze schedelimplantaat	V1 unetu kolju implantaat	V1 uneton kalloimplantti	V1 εμφύτευμα ακοίμητου κρανίου	V1 álmatlan koponya implantátum	V1 søvnløs hodeskalleimplantat	Implante de crânio sem dormir V1	Implant de craniu nedormit V1	Implantát lebky bez spánku V1	Implante de cráneo sin dormir V1	V1 sömnlös skalleimplantat	V1 uykusuz kafatası implantı
HediffDef&KokuV1SleepLessSkullImplant.description	An installed V1 sleepless skull implant.	Ein installiertes schlafloses Schädelimplantat V1.	取り付けられた V1 スリープレス頭蓋骨インプラント。	Zainstalowany implant czaszki bezsennej V1.	Un implante de cráneo V1 insomne ​​instalado.	Un implant crânien sans sommeil V1 installé.	已安装的 V1 不眠颅骨植入物。	Un impianto cranico insonne V1 installato.	설치된 V1 잠 못 드는 두개골 임플란트.	Um implante de crânio sem dormir V1 instalado.	Установлен имплантат бессонного черепа V1.	Встановлений безсонний черепний імплантат V1.	Un implant de crani sense dormir V1 instal·lat.	已安装的 V1 不眠颅骨植入物。	Instalovaný implantát lebky bez spánku V1.	Et installeret V1 søvnløst kranieimplantat.	Een geïnstalleerd V1-slapeloos schedelimplantaat.	Paigaldatud V1 unetu kolju implantaat.	Asennettu V1 uneton kalloimplantti.	Εγκατεστημένο V1 εμφύτευμα κρανίου χωρίς ύπνο.	Beépített V1 álmatlan koponya implantátum.	Et installert V1 søvnløst hodeskalleimplantat.	Um implante de crânio sem dormir V1 instalado.	Un implant de craniu nedormit V1 instalat.	Inštalovaný implantát lebky bez spánku V1.	Un implante de cráneo V1 insomne ​​instalado.	Ett installerat V1 sömnlöst skallimplantat.	Kurulu bir V1 uykusuz kafatası implantı.
HediffDef&KokuV2SleepLessSkullImplant.label	V2 sleepless skull implant	V2 schlafloses Schädelimplantat	V2 スリープレス頭蓋骨インプラント	Implant czaszki bezsennej V2	Implante de cráneo sin dormir V2	Implant crânien sans sommeil V2	V2不眠颅骨植入物	Impianto di cranio insonne V2	V2 잠 못 이루는 두개골 임플란트	Implante de crânio sem sono V2	Имплантат бессонного черепа V2	V2 безсонний імплантат черепа	Implant de crani sense dormir V2	V2不眠颅骨植入物	Implantát lebky bez spánku V2	V2 søvnløst kranieimplantat	V2 slapeloze schedelimplantaat	V2 unetu kolju implantaat	V2 uneton kalloimplantti	V2 ακοίμητο εμφύτευμα κρανίου	V2 álmatlan koponya implantátum	V2 søvnløs hodeskalleimplantat	Implante de crânio sem sono V2	Implant de craniu nedormit V2	Implantát lebky bez spánku V2	Implante de cráneo sin dormir V2	V2 sömnlös skalleimplantat	V2 uykusuz kafatası implantı
HediffDef&KokuV2SleepLessSkullImplant.description	An installed V2 sleepless skull implant.	Ein installiertes schlafloses V2-Schädelimplantat.	取り付けられた V2 スリープレス頭蓋骨インプラント。	Zainstalowany implant czaszki bezsennej V2.	Un implante de cráneo V2 insomne ​​instalado.	Un implant crânien sans sommeil V2 installé.	已安装的 V2 不眠颅骨植入物。	Un impianto cranico insonne V2 installato.	설치된 V2 잠 못 드는 두개골 임플란트.	Um implante de crânio sem sono V2 instalado.	Установлен имплантат бессонного черепа V2.	Встановлений безсонний черепний імплантат V2.	Un implant de crani sense dormir V2 instal·lat.	已安装的 V2 不眠颅骨植入物。	Instalovaný implantát lebky bez spánku V2.	Et installeret V2 søvnløst kranieimplantat.	Een geïnstalleerd V2-slapeloos schedelimplantaat.	Paigaldatud V2 unetu kolju implantaat.	Asennettu V2 uneton kalloimplantti.	Εγκατεστημένο V2 εμφύτευμα κρανίου χωρίς ύπνο.	Beépített V2 álmatlan koponyaimplantátum.	Et installert V2 søvnløst hodeskalleimplantat.	Um implante de crânio sem sono V2 instalado.	Un implant de craniu nedormit V2 instalat.	Inštalovaný implantát lebky bez spánku V2.	Un implante de cráneo V2 insomne ​​instalado.	Ett installerat V2 sömnlöst skallimplantat.	Kurulu bir V2 uykusuz kafatası implantı.
HediffDef&KokuV3SleepLessSkullImplant.label	V3 sleepless skull implant	V3 schlafloses Schädelimplantat	V3 スリープレス頭蓋骨インプラント	Implant czaszki bezsennej V3	Implante de cráneo sin dormir V3	Implant crânien sans sommeil V3	V3不眠颅骨植入物	Impianto di cranio insonne V3	V3 잠 못 이루는 두개골 임플란트	Implante de crânio sem sono V3	Имплантат бессонного черепа V3	Імплантат безсонного черепа V3	Implant de crani sense dormir V3	V3不眠颅骨植入物	Implantát lebky bez spánku V3	V3 søvnløst kranieimplantat	V3 slapeloze schedelimplantaat	V3 magamata kolju implantaat	V3 uneton kalloimplantti	V3 ακοίμητο εμφύτευμα κρανίου	V3 álmatlan koponya implantátum	V3 søvnløs hodeskalleimplantat	Implante de crânio sem sono V3	Implant cranian nedormit V3	Implantát lebky bez spánku V3	Implante de cráneo sin dormir V3	V3 sömnlös skalleimplantat	V3 uykusuz kafatası implantı
HediffDef&KokuV3SleepLessSkullImplant.description	An installed V3 sleepless skull implant.	Ein installiertes schlafloses V3-Schädelimplantat.	取り付けられた V3 スリープレス頭蓋骨インプラント。	Zainstalowany implant czaszki bezsennej V3.	Un implante de cráneo V3 insomne ​​instalado.	Un implant crânien sans sommeil V3 installé.	已安装的 V3 不眠颅骨植入物。	Un impianto cranico insonne V3 installato.	설치된 V3 잠 못 드는 두개골 임플란트.	Um implante de crânio sem dormir V3 instalado.	Установлен имплант бессонного черепа V3.	Встановлений безсонний черепний імплантат V3.	Un implant de crani sense dormir V3 instal·lat.	已安装的 V3 不眠颅骨植入物。	Instalovaný implantát lebky bez spánku V3.	Et installeret V3 søvnløst kranieimplantat.	Een geïnstalleerd V3-slapeloze schedelimplantaat.	Paigaldatud V3 unetu kolju implantaat.	Asennettu V3 uneton kalloimplantti.	Ένα εγκατεστημένο εμφύτευμα κρανίου χωρίς ύπνο V3.	Beépített V3 álmatlan koponyaimplantátum.	Et installert V3 søvnløst hodeskalleimplantat.	Um implante de crânio sem dormir V3 instalado.	Un implant de craniu nedormit V3 instalat.	Inštalovaný implantát lebky bez spánku V3.	Un implante de cráneo V3 insomne ​​instalado.	Ett installerat V3 sömnlöst skallimplantat.	Kurulu bir V3 uykusuz kafatası implantı.
HediffDef&KokuV1PsychicLessSkullImplant.label	V1 psychicless skull implant	V1 psychisches Schädelimplantat	V1 サイキックレス頭蓋骨インプラント	Bezpsychiczny implant czaszki V1	Implante de cráneo sin psíquico V1	Implant crânien sans psychisme V1	V1 无灵颅骨植入物	Impianto di cranio psichico V1	V1 무심령 두개골 임플란트	Implante de crânio sem psíquico V1	Беспсихический имплантат черепа V1	Імплантат V1 без психічного черепа	Implant de crani sense psíquic V1	V1 无灵颅骨植入物	Implantát lebky bez psychiky V1	V1 psychicless kranieimplantat	V1 paranormaal schedelimplantaat	V1 psüühikata koljuimplantaat	V1 psyykkinen kalloimplantti	V1 εμφύτευμα κρανίου χωρίς ψυχικό	V1 pszichés koponyaimplantátum	V1 psykisk fritt hodeskalleimplantat	Implante de crânio sem psíquico V1	Implant cranian fără psihic V1	Implantát lebky V1 bez psychiky	Implante de cráneo sin psíquico V1	V1 psychicless skalleimplantat	V1 psişik olmayan kafatası implantı
HediffDef&KokuV1PsychicLessSkullImplant.description	An installed V1 psychicless skull implant.	Ein installiertes V1-Psychicless-Schädelimplantat.	取り付けられた V1 サイキックレス頭蓋骨インプラント。	Zainstalowany bezpsychiczny implant czaszki V1.	Un implante de cráneo sin psíquico V1 instalado.	Un implant crânien psychique V1 installé.	已安装的 V1 无灵颅骨植入物。	Un impianto cranico psichico V1 installato.	설치된 V1 무심령 두개골 임플란트.	Um implante de crânio sem psíquico V1 instalado.	Установлен беспсихический имплантат черепа V1.	Встановлений безекстрасенсний черепний імплантат V1.	Un implant de crani sense psíquic V1 instal·lat.	已安装的 V1 无灵颅骨植入物。	Instalovaný implantát lebky bez psychiky V1.	Et installeret V1 psychicless kranieimplantat.	Een geïnstalleerd V1-psychicless schedelimplantaat.	Paigaldatud V1 psüühikata koljuimplantaat.	Asennettu V1 psyykkinen kallo-implantti.	Ένα εγκατεστημένο V1 εμφύτευμα κρανίου χωρίς ψυχικό.	Beépített V1 pszichés koponyaimplantátum.	Et installert V1 psykisk fritt hodeskalleimplantat.	Um implante de crânio sem psíquico V1 instalado.	Un implant de craniu fără psihic V1 instalat.	Inštalovaný implantát lebky bez psychiky V1.	Un implante de cráneo sin psíquico V1 instalado.	Ett installerat V1 psychicless skalleimplantat.	Kurulu bir V1 psişiksiz kafatası implantı.
