Key	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
Language Name En	English	German	Japanese	Polish	Spanish	French	ChineseSimplified	Italian	Korean	Portuguese	Russian	Ukrainian	Catalan	ChineseTraditional	Czech	Danish	Dutch	Estonian	Finnish	Greek	Hungarian	Norwegian	PortugueseBrazilian	Romanian	Slovak	SpanishLatin	Swedish	Turkish
DamageDef&KokuSuicideVestBomb.label	bomb	Bombe	爆弾	bomba	bomba	bombe	炸弹	bomba	폭탄	bomba	бомбить	бомба	bomba	炸弹	bombardovat	bombe	bom	pomm	pommi	βόμβα	bomba	bombe	bomba	bombă	bomba	bomba	bomba	bomba
ThingDef&KokuSuicidevest.label	Suside	Suside	スサイド	Suside	suside	Suside	苏赛德	Suside	수사이드	Suside	Сусайд	Suside	A part	苏赛德	Suside	Suside	Suside	Suside	Suside	Suside	Suside	Suside	Suside	La o parte	Suside	suside	Suside	Suside
ThingDef&KokuSuicidevest.description	This is a suicide vest with destructive power.	Dies ist eine Selbstmordweste mit zerstörerischer Kraft.	破壊力のある特攻ベストです。	To kamizelka samobójcza o niszczycielskiej mocy.	Este es un chaleco suicida con poder destructivo.	Il s'agit d'un gilet suicide doté d'un pouvoir destructeur.	这是一件具有破坏力的自杀背心。	Questo è un giubbotto suicida con potere distruttivo.	파괴력이 강한 자살조끼입니다.	Este é um colete suicida com poder destrutivo.	Это жилет смертника, обладающий разрушительной силой.	Це жилет смертника з руйнівною силою.	Aquesta és una armilla suïcida amb poder destructiu.	这是一件具有破坏力的自杀背心。	Toto je sebevražedná vesta s destruktivní silou.	Dette er en selvmordsvest med destruktiv kraft.	Dit is een zelfmoordvest met vernietigende kracht.	See on hävitava jõuga enesetapuvest.	Tämä on itsemurhaliivi, jolla on tuhoisa voima.	Αυτό είναι ένα γιλέκο αυτοκτονίας με καταστροφική δύναμη.	Ez egy öngyilkos mellény pusztító erővel.	Dette er en selvmordsvest med destruktiv kraft.	Este é um colete suicida com poder destrutivo.	Aceasta este o vestă sinucigașă cu putere distructivă.	Toto je samovražedná vesta s deštruktívnou silou.	Este es un chaleco suicida con poder destructivo.	Det här är en självmordsväst med destruktiv kraft.	Bu yıkıcı güce sahip bir intihar yeleği.
ThingDef&KokuSuicideVestBomb.label	bomb detonator	Bombenzünder	爆弾起爆装置	detonator bomby	detonador de bomba	détonateur de bombe	炸弹雷管	detonatore di bombe	폭탄 기폭 장치	detonador de bomba	детонатор бомбы	детонатор бомби	detonador de bombes	炸弹雷管	rozbuška bomby	bombe detonator	bom ontsteker	pommi detonaator	pommin sytytin	πυροκροτητής βόμβας	bomba detonátor	bombe detonator	detonador de bomba	detonator de bombă	rozbuška bomby	detonador de bomba	bombsprängkapsel	bomba patlatıcı
MVCF.ModDef&KkokorosCombatorgans.label	Combat organs	Kampforgane	戦闘器官	Organy bojowe	Órganos de combate	Organes de combat	战斗机关	Organi di combattimento	전투 기관	Órgãos de combate	Боевые органы	Бойові органи	Òrgans de combat	战斗机关	Bojové orgány	Kamporganer	Gevechtsorganen	Võitlusorganid	Taisteluelimet	Όργανα μάχης	Harci szervek	Kamporganer	Órgãos de combate	Organe de luptă	Bojové orgány	Órganos de combate	Stridsorgan	Savaş organları
MVCF.ModDef&KkokorosCombatorgans.description	Help	Helfen	ヘルプ	Pomoc	Ayuda	Aide	帮助	Aiuto	돕다	Ajuda	Помощь	Довідка	Ajuda	帮助	Pomoc	Hjælp	Hulp	Abi	Auttaa	Βοήθεια	Segítség	Hjelp	Ajuda	Ajutor	Pomoc	Ayuda	Hjälp	Yardım
VFECore.ExpandableProjectileDef&KokuBulletFireBreathJaw.label	fire breath jaw shot	Feueratem-Kieferschuss	ファイアブレスジョーショット	strzał w szczękę z ognistym oddechem	tiro en la mandíbula con aliento de fuego	coup de mâchoire de souffle de feu	火呼吸下巴射击	colpo alla mascella con alito di fuoco	불 호흡 턱 샷	sopro de fogo na mandíbula	огненное дыхание выстрел в челюсть	вогняне дихання щелепа постріл	tir de mandíbula alè de foc	火呼吸下巴射击	oheň dech čelist výstřel	ild ånde kæbe skud	vuur adem kaakschot	tulihinge lõualuu lask	tulihengitysleukalaukaus	φωτιά αναπνοή σαγόνι πυροβολισμό	tűz lehelet állkapocslövés	brannpust kjeveskudd	sopro de fogo na mandíbula	suflare de foc împușcat în fălci	fire dych jaw shot	tiro en la mandíbula con aliento de fuego	eld andedräkt käken skott	ateş nefesi çene vuruşu
HediffDef&KokuBionicClaw.label	Bionic claw	Bionische Klaue	バイオニッククロー	Bioniczny pazur	garra biónica	Griffe bionique	仿生爪	Artiglio bionico	생체공학 발톱	Garra biônica	Бионический коготь	Біонічний кіготь	Urpa biònica	仿生爪	Bionický dráp	Bionisk klo	Bionische klauw	Biooniline küünis	Bionic kynsi	Βιονικό νύχι	Bionikus karom	Bionisk klo	Garra biônica	Gheara bionică	Bionický pazúr	garra biónica	Bionic klo	Biyonik pençe
HediffDef&KokuBionicClaw.labelNoun	a bionic claw	eine bionische Klaue	バイオニックの爪	bioniczny pazur	una garra biónica	une griffe bionique	仿生爪	un artiglio bionico	생체공학 발톱	uma garra biônica	бионический коготь	біонічний кіготь	una urpa biònica	仿生爪	bionický dráp	en bionisk klo	een bionische klauw	biooniline küünis	bioninen kynsi	ένα βιονικό νύχι	egy bionikus karom	en bionisk klo	uma garra biônica	o gheară bionică	bionický pazúr	una garra biónica	en bionisk klo	biyonik bir pençe
