Key	default	en	de	ja	pl	es	fr	zh-Hans	it	ko	pt	ru	uk	ca	zh	cs	da	nl	et	fi	el	hu	no	pt-BR	ro	sk	es-419	sv	tr
Language Name En	Default	English	German	Japanese	Polish	Spanish	French	ChineseSimplified	Italian	Korean	Portuguese	Russian	Ukrainian	Catalan	ChineseTraditional	Czech	Danish	Dutch	Estonian	Finnish	Greek	Hungarian	Norwegian	PortugueseBrazilian	Romanian	Slovak	SpanishLatin	Swedish	Turkish
AchievementsExpanded.AchievementTabDef&KokuAchivementKkokoros.label	Kkokoros																												
AchievementsExpanded.AchievementDef&KokuAchivementUltraHuman.label	Ultra Human!																												
AchievementsExpanded.AchievementDef&KokuAchivementUltraHuman.description	Have a single pawn with (base) Ultra bionic arms, legs, nose, ears, eyes, jaw, spine, pelvis, ribcage, and organs																												
BodyPartDef&KokuBrainSlot.label	brain slot																												
BodyPartDef&KokuExoskeletonSlot.label	exoskeleton																												
BodyPartDef&KokuBladderSlot.label	bladder																												
BodyPartDef&KokuHygieneEnhancerSlot.label	hygiene enhancer																												
HediffDef&KokuWoodenJaw.label	wooden jaw		Holzkiefer		Drewniana Szczęka							Деревянная челюсть	Дерев'яна щелепа											Mandíbula de madeira					
HediffDef&KokuWoodenJaw.labelNoun	a wodden jaw		Holzkiefer		Drewniana Szczęka							Деревянная челюсть	Дерев'яна щелепа											Mandíbula de madeira					
HediffDef&KokuWoodenJaw.description	An installed wooden jaw.		Montierter Holzkiefer.		Zamontowana drewniana szczęka.							Установленная деревянная челюсть.	Встановлена дерев'яна щелепа.											Mandíbula de madeira instalada.					
HediffDef&KokuWoodenArm.label	wooden shoulder-arm		Holzarm		Drewniane ramię							Деревянная рука	Дерев'яне рука											Braço de madeira					
HediffDef&KokuWoodenArm.labelNoun	a wooden arm		Holzarm		Drewniane ramię							Деревянная рука	Дерев'яне рука											Braço de madeira					
HediffDef&KokuWoodenArm.description	An installed wooden arm.		Montierter Holzarm.		Zamontowane drewniane ramię.							Установленная деревянная рука.	Встановлене дерев'яне рука.											Braço de madeira instalado.					
HediffDef&KokuWoodenArm.comps.0.tools.0.label	Wooden fist																												
HediffDef&KokuWoodenLeg.label	wodden leg		Holzbein		Drewniana Noga							Деревянная нога	Дерев'яна нога											Perna de madeira					
HediffDef&KokuWoodenLeg.labelNoun	a wooden leg		Holzbein		Drewniana Noga							Деревянная нога	Дерев'яна нога											Perna de madeira					
HediffDef&KokuWoodenLeg.description	An installed wooden leg.		Montiertes Holzbein.		Zamontowana drewniana noga.							Установленная деревянная нога.	Встановлена дерев'яна нога.											Perna de madeira instalada.					
HediffDef&KokuArtificialNose.label	artificial nose		Künstliche Nase		Sztuczny nos							Искусственный нос	Штучний ніс											Nariz artificial					
HediffDef&KokuArtificialNose.description	An installed simple artificial nose.		Montierte künstliche Nase.		Zamontowany sztuczny nos.							Установленный искусственный нос.	Встановлений штучний ніс.											Nariz artificial instalado.					
HediffDef&KokuArtificialEar.label	artificial Ear		Künstliches Ohr		Sztuczne ucho							Искусственное ухо	Штучне вухо											Ouvido artificial					
HediffDef&KokuArtificialEar.description	An installed simple artificial ear.		Montiertes künstliches Ohr.		Zamontowane sztuczne ucho.							Установленное искусственное ухо.	Встановлене штучне вухо.											Ouvido artificial instalado.					
HediffDef&KokuArtificialEye.label	artificial eye		Künstliches Auge		Sztuczne oko							Искусственный глаз	Штучне око											Olho artificial					
